사업명,기준년월,시도,시군구,수급권자수,수급가구수
기초생계급여,2025-12,경기도,안산시상록구,11791,9332
기초생계급여,2025-12,경기도,안산시단원구,8142,6633
기초생계급여,2025-12,경기도,고양시,1412,1412
기초생계급여,2025-12,경기도,고양시덕양구,13447,11058
기초생계급여,2025-12,경기도,고양시일산동구,5680,4622
기초생계급여,2025-12,경기도,고양시일산서구,4137,3375
기초생계급여,2025-12,경기도,과천시,847,673
기초생계급여,2025-12,경기도,구리시,5102,4289
기초생계급여,2025-12,경기도,남양주시,18389,14953
기초생계급여,2025-12,경기도,오산시,4762,3870
기초생계급여,2025-12,경기도,시흥시,12719,10251
기초생계급여,2025-12,경기도,군포시,6657,5497
기초생계급여,2025-12,경기도,의왕시,1806,1578
기초생계급여,2025-12,경기도,하남시,5282,4360
기초생계급여,2025-12,경기도,용인시,381,379
기초생계급여,2025-12,경기도,용인시처인구,4917,4062
기초생계급여,2025-12,경기도,용인시기흥구,5606,4523
기초생계급여,2025-12,경기도,용인시수지구,1253,1069
기초생계급여,2025-12,경기도,파주시,15147,12173
기초생계급여,2025-12,경기도,이천시,5472,4464
기초생계급여,2025-12,경기도,안성시,6444,5287
기초생계급여,2025-12,경기도,김포시,10459,8177
기초생계급여,2025-12,경기도,화성시,12534,10265
기초생계급여,2025-12,경기도,광주시,7255,5829
기초생계급여,2025-12,경기도,양주시,10861,8429
기초생계급여,2025-12,경기도,포천시,6904,5793
기초생계급여,2025-12,경기도,여주시,4202,3513
기초생계급여,2025-12,경기도,연천군,2084,1808
기초생계급여,2025-12,경기도,가평군,3558,3095
기초생계급여,2025-12,경기도,양평군,4449,3802
기초생계급여,2025-12,충청북도,청주시,1040,1040
기초생계급여,2025-12,충청북도,청주시상당구,6563,5257
기초생계급여,2025-12,충청북도,청주시서원구,6896,5638
기초생계급여,2025-12,충청북도,청주시흥덕구,5514,4259
기초생계급여,2025-12,충청북도,청주시청원구,4378,3484
기초생계급여,2025-12,충청북도,충주시,9275,7549
기초생계급여,2025-12,충청북도,제천시,6081,5094
기초생계급여,2025-12,충청북도,보은군,1514,1269
기초생계급여,2025-12,충청북도,옥천군,2401,2026
기초생계급여,2025-12,충청북도,영동군,2187,1790
기초생계급여,2025-12,충청북도,증평군,1598,1299
기초생계급여,2025-12,충청북도,진천군,2408,1914
기초생계급여,2025-12,충청북도,괴산군,1864,1485
기초생계급여,2025-12,충청북도,음성군,4636,3958
기초생계급여,2025-12,충청북도,단양군,1244,1054
기초생계급여,2025-12,충청남도,천안시,572,572
기초생계급여,2025-12,충청남도,천안시 동남구,7898,6338
기초생계급여,2025-12,충청남도,천안시 서북구,8298,6555
기초생계급여,2025-12,충청남도,공주시,4882,4076
기초생계급여,2025-12,충청남도,보령시,4616,3858
기초생계급여,2025-12,충청남도,아산시,10281,8197
기초생계급여,2025-12,충청남도,서산시,4494,3696
기초생계급여,2025-12,충청남도,논산시,7333,5884
기초생계급여,2025-12,충청남도,계룡시,684,560
기초생계급여,2025-12,충청남도,당진시,4052,3348
기초생계급여,2025-12,충청남도,금산군,2219,1891
기초생계급여,2025-12,충청남도,부여군,3120,2624
기초생계급여,2025-12,충청남도,서천군,2594,2153
기초생계급여,2025-12,충청남도,청양군,1150,937
기초생계급여,2025-12,충청남도,홍성군,3625,3003
기초생계급여,2025-12,충청남도,예산군,3078,2571
